dialogue_id,gold_binary,gold_multi,intensity,D1_score,D2_score,D3_score,D4_score,D5_score,D6_score,D7_score,D1_level,D2_level,D3_level,D4_level,D5_level,D6_level,D7_level,llm_agg_agency,llm_argmax_dim,llm_presence
3,0,2,3,0.80,0.60,0.90,0.70,0.20,0.00,0.70,3,2,3,3,1,0,3,4.50,D3,1
10,0,2,3,0.70,0.30,0.50,0.40,0.00,0.00,0.80,3,1,2,2,0,0,3,4.00,D7,1
13,0,0,4,0.80,0.70,0.20,0.50,0.10,0.90,0.90,3,3,1,2,0,3,3,4.50,D6,1
17,1,4,4,0.80,0.60,0.50,0.70,0.20,0.60,0.90,3,2,2,3,1,2,3,4.50,D7,1
18,0,0,1,0.20,0.00,0.10,0.30,0.00,0.00,0.60,1,0,1,1,0,0,2,3.00,D7,1
29,1,5,4,0.80,0.60,0.90,0.70,0.20,0.60,0.90,3,2,3,3,1,2,3,4.50,D3,1
34,1,5,4.5,0.90,0.80,0.90,0.90,0.20,0.90,0.90,3,3,3,3,1,3,3,4.50,D1,1
42,0,0,1,0.30,0.10,0.00,0.00,0.00,0.00,0.80,1,0,0,0,0,0,3,4.00,D7,1
45,1,5,4,0.80,0.60,0.70,0.80,0.30,0.40,0.90,3,2,3,3,1,2,3,4.50,D7,1
47,1,5,3,0.70,0.40,0.80,0.30,0.10,0.00,0.60,3,2,3,1,0,0,2,4.00,D3,1
56,0,2,4,0.80,0.70,0.90,0.80,0.20,0.10,0.60,3,3,3,3,1,0,2,4.50,D3,1
58,0,2,3,0.70,0.30,0.60,0.50,0.10,0.00,0.80,3,1,2,2,0,0,3,4.00,D7,1
62,0,0,0,0.10,0.00,0.20,0.10,0.00,0.00,0.30,0,0,1,0,0,0,1,1.50,D7,0
70,0,2,2,0.40,0.20,0.50,0.30,0.10,0.00,0.60,2,1,2,1,0,0,2,3.00,D7,1
73,1,5,4,0.90,0.80,0.70,0.80,0.20,0.60,0.90,3,3,3,3,1,2,3,4.50,D1,1
74,0,2,3,0.80,0.50,0.70,0.60,0.10,0.00,0.90,3,2,3,2,1,0,3,4.50,D7,1
83,0,2,3,0.40,0.30,0.70,0.60,0.10,0.00,0.80,2,1,3,2,0,0,3,4.00,D7,1
